CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,59.64,4168,77.93
買賣,房地(土地+建物)+車位,南港區成福路194巷6號,121.58789,25.040737,,華廈(10層含以下有電梯),,21.1,1500,75.17
買賣,房地(土地+建物)+車位,南港區重陽路481號,121.611414,25.060544,,大樓(11層含以上有電梯),,161.9,9580,74.14
買賣,房地(土地+建物)+車位,士林區至善路二段1號,121.543049,25.097404,,華廈(10層含以下有電梯),,63.6,3275,51.49
買賣,房地(土地+建物)+車位,中正區忠孝東路一段161號,121.526719,25.044215,,大樓(11層含以上有電梯),,23.17,2228,96.16
買賣,房地(土地+建物),士林區中山北路七段232巷16號,121.53384,25.127013,,華廈(10層含以下有電梯),,51,2260,44.31
買賣,房地(土地+建物),中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,25.57,2928,114.51
買賣,房地(土地+建物),文山區辛亥路四段209巷21號,121.558531,25.006268,,大樓(11層含以上有電梯),,26.95,1789,66.38
買賣,房地(土地+建物),松山區三民路136巷21號,121.564342,25.060684,,公寓(5樓含以下無電梯),,28.98,2135,73.67
買賣,房地(土地+建物),萬華區青年路161號,121.502966,25.023446,,公寓(5樓含以下無電梯),,12.58,1200,95.39
買賣,房地(土地+建物)+車位,北投區中央北路四段583巷6號,121.465733,25.125066,,華廈(10層含以下有電梯),,57.68,2450,42.48
買賣,房地(土地+建物),士林區美崙街84巷6號,121.521578,25.097103,,透天厝,,32.56,3070,94.29
買賣,房地(土地+建物)+車位,文山區木柵路三段48巷1弄11號,121.564783,24.987829,,華廈(10層含以下有電梯),,63.79,3000,47.03
買賣,房地(土地+建物),信義區光復南路561號,121.557601,25.030989,,大樓(11層含以上有電梯),,20.08,1810,90.14
買賣,房地(土地+建物),信義區吳興街600巷76弄86號,121.56984,25.018388,,公寓(5樓含以下無電梯),,15.62,760,48.66
買賣,房地(土地+建物),中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,25.57,2650,103.64
買賣,房地(土地+建物),大同區南京西路56號,121.519291,25.052738,,大樓(11層含以上有電梯),,19.33,2120,109.67
買賣,房地(土地+建物)+車位,士林區中山北路六段290巷29弄11號,121.52744,25.109321,,華廈(10層含以下有電梯),,16.65,1218,73.15
買賣,房地(土地+建物)+車位,北投區中央北路三段118巷16號,121.483417,25.138245,,華廈(10層含以下有電梯),,38.73,1690,43.64
買賣,房地(土地+建物)+車位,萬華區東園街176號,121.498101,25.022217,,大樓(11層含以上有電梯),,59.29,2770,50.4
買賣,房地(土地+建物),文山區興隆路三段207巷12弄1號,121.561475,24.994772,,公寓(5樓含以下無電梯),,27.95,830,29.7
買賣,房地(土地+建物),松山區八德路三段199巷16號,121.556229,25.049085,,華廈(10層含以下有電梯),,20.39,1545,75.77
租賃,建物,內湖區成功路二段451號,121.590196,25.074293,11,住宅大樓(11層含以上有電梯),1090731,29.67,3,1011.12
買賣,房地(土地+建物),內湖區民權東路六段90巷15弄21號,121.586983,25.06794,5,公寓(5樓含以下無電梯),730127,34.94,1460,41.79
租賃,建物,中山區新生北路二段62巷16號,121.526681,25.056073,19,住宅大樓(11層含以上有電梯),1050322,23.28,5,2147.77
租賃,建物,中山區林森北路107巷1號,121.525288,25.050353,8,華廈(10層含以下有電梯),1030910,20.24,4,1729.25
租賃,建物,中山區雙城街25巷1號,121.52443,25.066275,13,住宅大樓(11層含以上有電梯),1041221,60.08,12,1997.34
租賃,建物,北投區文林北路301號,121.514737,25.105929,23,住宅大樓(11層含以上有電梯),1040213,51.24,7,1323.19
買賣,房地(土地+建物),內湖區港華街51巷8弄21號,121.575014,25.08366,5,公寓(5樓含以下無電梯),720611,34.05,1230,36.12
買賣,房地(土地+建物),中山區中山北路二段93巷6號,121.523435,25.059317,12,大樓(11層含以上有電梯),940803,12.9,1250,96.9
買賣,房地(土地+建物)+車位,內湖區麗山街328巷46號,121.5745,25.082799,5,公寓(5樓含以下無電梯),790421,48.45,2580,62.6
租賃,房地(土地+建物),信義區吳興街446號,121.568453,25.023987,6,店面(店鋪),770723,26.01,4,1345.64
買賣,房地(土地+建物)+車位,內湖區瑞光路513巷31號,121.570162,25.079805,10,華廈(10層含以下有電梯),870917,90.16,4290,47.58
買賣,房地(土地+建物),中山區中山北路一段53巷6號,121.522009,25.049185,12,大樓(11層含以上有電梯),970104,15.34,1288,83.96
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,76.29,5384,79.69
買賣,房地(土地+建物),中山區長春路366號,121.542608,25.054472,16,大樓(11層含以上有電梯),850710,90.71,5680,62.62
租賃,建物,南港區惠民街11號,121.610292,25.055759,4,店面(店鋪),,22.16,2,902.53
買賣,房地(土地+建物)+車位,中山區中山北路二段181號,121.52273,25.063258,18,大樓(11層含以上有電梯),1080604,36.55,3550,118.01
租賃,建物,中山區中山北路一段111號,121.522452,25.051138,23,住宅大樓(11層含以上有電梯),1060330,70.88,14,1975.17
租賃,建物,士林區德行東路109巷41號,121.528684,25.11134,5,公寓(5樓含以下無電梯),750915,35.25,6,1702.13
買賣,房地(土地+建物)+車位,內湖區麗山街105巷21號,121.579458,25.082417,13,大樓(11層含以上有電梯),1070522,87.8,6188,70.48
買賣,房地(土地+建物),中山區新生北路三段61號,121.528054,25.065942,9,華廈(10層含以下有電梯),650907,13.93,782,56.14
買賣,房地(土地+建物),中山區新生北路二段68巷26號,121.526304,25.056671,7,華廈(10層含以下有電梯),670505,27.1,1495,55.17
租賃,建物,中山區龍江路457巷6號,121.541398,25.067516,4,套房(1房(1廳)1衛),651115,7.5,1,1706.67
租賃,建物,中山區北安路826號,121.557305,25.08424,14,套房(1房(1廳)1衛),991224,13.61,3,1836.88
買賣,房地(土地+建物)+車位,內湖區東湖路113巷70弄1號,121.615881,25.071455,6,華廈(10層含以下有電梯),830914,39.86,1768,44.36
租賃,建物,中山區民權東路二段36號,121.529298,25.062332,12,住宅大樓(11層含以上有電梯),1020206,48.75,9,1743.59
租賃,建物,士林區華齡街66號,121.519741,25.084427,5,店面(店鋪),690115,31.28,5,1662.4
買賣,房地(土地+建物),內湖區星雲街161巷6號,121.596192,25.081813,14,大樓(11層含以上有電梯),940712,26.78,2150,80.28
買賣,房地(土地+建物),內湖區安康路315巷21號,121.613832,25.066984,4,公寓(5樓含以下無電梯),690314,33.15,1670,50.38
買賣,房地(土地+建物)+車位,內湖區民權東路六段210巷21弄1號,121.597808,25.066856,9,華廈(10層含以下有電梯),1081111,17.89,1446,80.83
租賃,建物,文山區辛亥路七段84巷6號,121.553967,24.981389,11,住宅大樓(11層含以上有電梯),891025,61.99,4,645.27
租賃,建物,中正區汀州路二段271號,121.524143,25.02223,10,華廈(10層含以下有電梯),1051209,38.65,4,1112.55
租賃,建物,大同區太原路151號,121.5167,25.05524,19,住宅大樓(11層含以上有電梯),910225,60.95,6,984.41
買賣,房地(土地+建物)+車位,內湖區內湖路一段91巷21號,121.562056,25.08596,10,華廈(10層含以下有電梯),940308,146.83,6518,60.47
買賣,房地(土地+建物)+車位,內湖區行愛路78巷26號,121.580326,25.062206,6,華廈(10層含以下有電梯),920113,131.22,4530,34.52
租賃,建物,大同區市民大道一段201號,121.517532,25.04897,18,住宅大樓(11層含以上有電梯),980724,14.01,4,2498.22
買賣,房地(土地+建物)+車位,內湖區內湖路一段91巷35弄81號,121.561288,25.087616,9,華廈(10層含以下有電梯),840627,41.34,2351,56.87
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,39.07,3226,94.17
買賣,房地(土地+建物),內湖區文湖街21巷98弄1號,121.559858,25.090485,4,公寓(5樓含以下無電梯),700408,27.08,1350,49.85
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.51,3508,115.57
買賣,房地(土地+建物),松山區民權東路三段186號,121.549885,25.061446,,華廈(10層含以下有電梯),,10.89,850,78.05
買賣,房地(土地+建物),大安區基隆路二段166號,121.555482,25.027165,,大樓(11層含以上有電梯),,9.79,777,79.37
買賣,房地(土地+建物),松山區民生東路五段161號,121.562558,25.059056,,大樓(11層含以上有電梯),,52.44,3280,62.55
買賣,房地(土地+建物),松山區三民路107巷26號,121.562144,25.057659,,公寓(5樓含以下無電梯),,27.42,2120,77.32
買賣,房地(土地+建物),信義區虎林街56巷16號,121.576379,25.046415,,公寓(5樓含以下無電梯),,31.93,2068,64.77
買賣,房地(土地+建物)+車位,士林區文林路556號,121.52403,25.097705,,大樓(11層含以上有電梯),,75.26,4988,73.87
買賣,房地(土地+建物)+車位,中正區衡陽路66號,121.511784,25.042179,,大樓(11層含以上有電梯),,28.81,2370,90.61
買賣,房地(土地+建物),大同區延平北路二段31號,121.511802,25.054787,,大樓(11層含以上有電梯),,11.84,510,43.07
買賣,房地(土地+建物)+車位,信義區松勤街6號,121.559776,25.032045,,大樓(11層含以上有電梯),,20.29,2250,136.58
買賣,房地(土地+建物)+車位,南港區園區街26號,121.613246,25.059692,,大樓(11層含以上有電梯),,79.5,6180,86.66
買賣,房地(土地+建物),士林區中山北路六段2巷51號,121.528272,25.103724,,公寓(5樓含以下無電梯),,34.61,1634,47.21
買賣,房地(土地+建物)+車位,士林區重慶北路四段81號,121.512437,25.081593,,華廈(10層含以下有電梯),,42.64,1320,30.96
買賣,房地(土地+建物),大安區和平東路三段308巷36號,121.555463,25.019701,,公寓(5樓含以下無電梯),,29.45,1780,60.44
買賣,房地(土地+建物)+車位,大同區民權西路201號,121.515308,25.06317,,大樓(11層含以上有電梯),,25.59,2000,78.16
買賣,房地(土地+建物),士林區劍潭路46號,121.522116,25.083615,,公寓(5樓含以下無電梯),,21.35,1696,79.44
買賣,房地(土地+建物),萬華區環河南路一段71號,121.501915,25.04502,,大樓(11層含以上有電梯),,12.77,500,39.15
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.4,3490,115.38
買賣,房地(土地+建物),士林區磺溪街55巷16號,121.521976,25.107896,,公寓(5樓含以下無電梯),,38.14,2318,60.78
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,90.79,5800,75.76
買賣,房地(土地+建物),大安區永康街7巷16號,121.531388,25.033066,,公寓(5樓含以下無電梯),,34.4,3150,91.57
買賣,房地(土地+建物)+車位,松山區敦化北路256號,121.549903,25.060635,,大樓(11層含以上有電梯),,179.35,24000,162.17
買賣,房地(土地+建物),北投區中山路1號,121.505011,25.137304,,華廈(10層含以下有電梯),,15.29,705,46.11
買賣,房地(土地+建物),文山區景豐街37巷1號,121.545783,25.000347,,公寓(5樓含以下無電梯),,28.7,1302,45.37
買賣,房地(土地+建物)+車位,信義區吳興街284巷6號,121.564089,25.026152,,大樓(11層含以上有電梯),,35.97,3143,87.38
買賣,房地(土地+建物)+車位,大安區敦化南路一段161巷71號,121.552589,25.043544,,大樓(11層含以上有電梯),,33.12,3040,130
買賣,房地(土地+建物),文山區光輝路78巷1號,121.555663,24.984399,,公寓(5樓含以下無電梯),,26.89,1146,42.62
買賣,房地(土地+建物),士林區華齡街17巷11號,121.518842,25.082957,,公寓(5樓含以下無電梯),,28.86,1420,49.2
買賣,房地(土地+建物),士林區中社路一段61巷21號,121.563666,25.109929,,公寓(5樓含以下無電梯),,31.38,1200,38.24
買賣,房地(土地+建物)+車位,中正區南昌路一段121號,121.518309,25.0299,,大樓(11層含以上有電梯),,12.57,1365,108.59
買賣,房地(土地+建物),文山區景興路23巷6弄1號,121.545381,24.997762,,公寓(5樓含以下無電梯),,23.96,1170,48.83
買賣,房地(土地+建物)+車位,萬華區環河南路二段21號,121.497788,25.03938,,大樓(11層含以上有電梯),,33.4,1750,55.9
買賣,房地(土地+建物)+車位,文山區萬利街66號,121.563957,25.001208,,華廈(10層含以下有電梯),,43.86,2080,47.42
買賣,房地(土地+建物),大安區光復南路96巷7弄1號,121.557047,25.044371,,公寓(5樓含以下無電梯),,27.66,2135,77.19
買賣,房地(土地+建物),信義區松隆路336號,121.577246,25.047827,,公寓(5樓含以下無電梯),,34.83,2068,59.37
買賣,房地(土地+建物),士林區天母東路69巷12弄1號,121.53436,25.119122,,公寓(5樓含以下無電梯),,32.08,1800,56.11
買賣,房地(土地+建物),大安區忠孝東路四段111號,121.549274,25.041713,,大樓(11層含以上有電梯),,13.69,1380,100.8
買賣,房地(土地+建物)+車位,南港區福德街456號,121.589053,25.039756,,大樓(11層含以上有電梯),,38.86,1800,46.32
買賣,房地(土地+建物),士林區中社路二段41號,121.565898,25.107875,,公寓(5樓含以下無電梯),,20.81,915,43.97
買賣,房地(土地+建物),信義區松山路287巷3弄11號,121.578312,25.043209,,公寓(5樓含以下無電梯),,24.92,1400,56.18
買賣,房地(土地+建物)+車位,中正區羅斯福路二段56號,121.521688,25.027725,,大樓(11層含以上有電梯),,15.32,1698,110.84
買賣,房地(土地+建物),文山區景興路91巷6號,121.54514,24.99568,,公寓(5樓含以下無電梯),,23.15,1000,43.2
買賣,房地(土地+建物),大安區復興南路一段81號,121.544077,25.044343,,大樓(11層含以上有電梯),,50.69,4500,88.77
買賣,房地(土地+建物),大同區西寧北路61號,121.508944,25.054573,,華廈(10層含以下有電梯),,107.37,5154,48
買賣,房地(土地+建物),文山區溪洲街11號,121.535265,25.005958,,公寓(5樓含以下無電梯),,18.67,1031,55.22
買賣,房地(土地+建物),松山區民生東路五段138巷1號,121.561699,25.058532,,大樓(11層含以上有電梯),,39.72,2850,71.75
買賣,房地(土地+建物),萬華區貴陽街二段51號,121.504536,25.039795,,大樓(11層含以上有電梯),,24.23,1900,78.42
買賣,房地(土地+建物),信義區吳興街41號,121.560246,25.031158,,公寓(5樓含以下無電梯),,31.07,2050,65.98
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,72.95,4431,73.47
預售屋,房地(土地+建物)+車位,內湖區潭美段四小段581號,121.562768,25.086795,13,住宅大樓(11層含以上有電梯),,66.89,3766,61.81
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,91.08,5400,76.19
買賣,房地(土地+建物)+車位,南港區經貿二路157巷36弄111號,121.614727,25.062424,,大樓(11層含以上有電梯),,114.86,8710,92.65
租賃,建物,中山區明水路536號,121.552186,25.080406,15,辦公商業大樓,821222,76.33,7,917.07
買賣,房地(土地+建物)+車位,內湖區康樂街136巷30弄6號,121.618112,25.071681,15,大樓(11層含以上有電梯),1090424,43.51,2575,59.18
買賣,房地(土地+建物),內湖區東湖路113巷3弄1號,121.615205,25.069089,5,公寓(5樓含以下無電梯),730820,28.21,1200,42.54
租賃,建物,中山區敬業一路176號,121.553642,25.083919,11,其他,970328,50.55,9,1780.42
租賃,建物,士林區忠誠路二段41號,121.530778,25.109546,17,住宅大樓(11層含以上有電梯),761116,53.87,7,1206.61
買賣,房地(土地+建物),內湖區康樂街136巷29弄51號,121.618128,25.073091,5,公寓(5樓含以下無電梯),750616,34.79,1258,36.16
買賣,房地(土地+建物),中山區天津街21號,121.522626,25.048444,8,華廈(10層含以下有電梯),760930,28.8,1788,62.08
租賃,建物,中山區中山北路二段77巷6號,121.5234,25.057448,13,住宅大樓(11層含以上有電梯),1060524,43.26,9,2080.44
租賃,建物,大安區通安街26號,121.553219,25.032019,7,華廈(10層含以下有電梯),720816,27.81,5,1726
買賣,房地(土地+建物),中山區長安東路一段56巷1號,121.528846,25.047801,6,華廈(10層含以下有電梯),921030,10.46,800,76.48
租賃,建物,士林區忠誠路一段16號,121.525532,25.104486,14,住宅大樓(11層含以上有電梯),941228,38.08,7,1706.93
租賃,建物,士林區天母北路66號,121.52661,25.122073,7,華廈(10層含以下有電梯),940909,47.59,5,1029.63
租賃,建物,北投區文林北路136號,121.516713,25.10638,25,住宅大樓(11層含以上有電梯),1060220,112.12,17,1471.64
買賣,房地(土地+建物),中山區長安東路一段53巷16號,121.526583,25.049685,7,華廈(10層含以下有電梯),761223,11.61,670,57.71
買賣,房地(土地+建物),中山區錦州街21號,121.524957,25.0604,11,大樓(11層含以上有電梯),711204,15.48,790,51.03
租賃,建物,中山區中山北路二段62巷6號,121.522142,25.056632,7,住宅大樓(11層含以上有電梯),1011203,43.02,7,1627.15
租賃,建物,中山區中山北路二段65巷6號,121.523841,25.057034,14,住宅大樓(11層含以上有電梯),901112,23.86,4,1844.09
買賣,房地(土地+建物),中山區長安東路一段16號,121.523401,25.049313,12,大樓(11層含以上有電梯),681124,17.09,1100,64.37
買賣,房地(土地+建物),內湖區康樂街111巷56號,121.620529,25.070719,9,華廈(10層含以下有電梯),810218,21.09,1223,57.99
買賣,房地(土地+建物)+車位,內湖區文湖街81巷36號,121.564261,25.087499,9,華廈(10層含以下有電梯),1020802,72.52,4550,62.74
買賣,房地(土地+建物),內湖區金湖路131號,121.598384,25.07996,26,大樓(11層含以上有電梯),1011121,78.74,8017,101.82
買賣,房地(土地+建物),內湖區康寧路三段99巷17弄16號,121.610049,25.072538,5,公寓(5樓含以下無電梯),731026,33.41,1720,51.48
租賃,建物,中山區新生北路二段51號,121.527863,25.05593,19,住宅大樓(11層含以上有電梯),980916,43.57,5,1147.58
租賃,建物,士林區雨聲街61號,121.528456,25.10299,7,華廈(10層含以下有電梯),751204,68.96,7,957.08
租賃,建物,信義區信義路五段126號,121.568815,25.032574,19,套房(1房(1廳)1衛),951229,14.8,3,1689.19
買賣,房地(土地+建物),中山區中山北路二段128巷1號,121.522415,25.061795,7,華廈(10層含以下有電梯),730224,42.76,968,22.64
買賣,房地(土地+建物),中山區農安街1巷1號,121.523013,25.066333,5,華廈(10層含以下有電梯),770502,33.76,2350,69.61
買賣,房地(土地+建物),內湖區文德路171巷9弄1號,121.585006,25.079627,5,公寓(5樓含以下無電梯),740410,34.25,2430,70.95
買賣,房地(土地+建物)+車位,中山區中山北路二段166號,121.522272,25.06332,14,大樓(11層含以上有電梯),951129,51.39,3620,87.19
租賃,建物,中正區和平西路二段21號,121.513476,25.028464,4,店面(店鋪),,28.86,3,1108.8
買賣,房地(土地+建物),中山區大直街34巷21號,121.5451,25.081505,3,透天厝,561226,47.31,3790,80.11
買賣,房地(土地+建物)+車位,內湖區民權東路六段210巷21弄6號,121.598045,25.066628,9,華廈(10層含以下有電梯),1081111,20.03,1568,78.28
租賃,建物,文山區辛亥路四段209巷21號,121.558531,25.006268,26,住宅大樓(11層含以上有電梯),1090430,36.95,3,811.91
租賃,建物,萬華區武昌街二段26號,121.507828,25.044443,4,店面(店鋪),,19.12,8,4184.1
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,39.07,3300,95.91
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,68.4,6188,97.15
買賣,房地(土地+建物),松山區健康路325巷12弄6號,121.567559,25.055364,,公寓(5樓含以下無電梯),,36.56,1600,43.76
買賣,房地(土地+建物),士林區承德路四段40巷71號,121.521559,25.080922,,公寓(5樓含以下無電梯),,10.88,468,43.01
買賣,房地(土地+建物),信義區忠孝東路五段423巷3弄11號,121.574744,25.041343,,公寓(5樓含以下無電梯),,36.81,2750,74.71
買賣,房地(土地+建物),萬華區長泰街61號,121.500043,25.022894,,華廈(10層含以下有電梯),,39.35,2250,57.18
買賣,房地(土地+建物)+車位,大安區金山南路二段186號,121.526011,25.028303,,大樓(11層含以上有電梯),,53.55,6080,145.19
買賣,房地(土地+建物),松山區延壽街330巷17弄16號,121.56182,25.054742,,華廈(10層含以下有電梯),,38.97,2777,71.26
買賣,房地(土地+建物),大安區仁愛路四段345巷4弄1號,121.553873,25.039041,,華廈(10層含以下有電梯),,47.62,4500,94.5
買賣,房地(土地+建物),大安區仁愛路四段231號,121.553233,25.03809,,大樓(11層含以上有電梯),,18.56,2020,108.84
買賣,房地(土地+建物),信義區松山路515巷2弄1號,121.578643,25.038288,,公寓(5樓含以下無電梯),,25.64,1670,65.13
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,71.58,4700,71.32
買賣,房地(土地+建物),北投區明德路267巷1號,121.52215,25.114394,,華廈(10層含以下有電梯),,37.17,2500,67.26
買賣,房地(土地+建物),大同區承德路三段76號,121.518126,25.065978,,透天厝,,17.2,880,51.16
買賣,房地(土地+建物),大安區樂業街159巷21號,121.554542,25.019869,,華廈(10層含以下有電梯),,27.61,2137,77.4
買賣,房地(土地+建物),南港區南港路一段286號,121.608261,25.05486,,公寓(5樓含以下無電梯),,9.93,530,53.37
買賣,房地(土地+建物)+車位,士林區德行東路331巷6號,121.537712,25.110627,,華廈(10層含以下有電梯),,103.03,6950,67.46
買賣,房地(土地+建物)+車位,中正區臨沂街57巷32弄6號,121.5311,25.037159,,華廈(10層含以下有電梯),,33.66,3830,113.78
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,81.33,5175,76.51
買賣,房地(土地+建物),大安區通化街39巷56號,121.55583,25.030671,,公寓(5樓含以下無電梯),,19.06,1420,74.5
買賣,房地(土地+建物)+車位,文山區辛亥路四段209巷26號,121.555955,25.002081,,大樓(11層含以上有電梯),,47.07,2889,61.38
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.51,3198,104.67
買賣,房地(土地+建物),大安區忠孝東路三段248巷51弄1號,121.541422,25.040348,,華廈(10層含以下有電梯),,26.06,2000,76.75
買賣,房地(土地+建物)+車位,萬華區環河南路二段11號,121.497833,25.039603,,大樓(11層含以上有電梯),,33.57,1588,47.3
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,62.5,4138,72.95
買賣,房地(土地+建物),大安區敦化南路一段161巷71號,121.552589,25.043544,,大樓(11層含以上有電梯),,18.28,2377,130.03
買賣,房地(土地+建物)+車位,文山區木新路三段95巷41號,121.56334,24.98111,,大樓(11層含以上有電梯),,74.21,3777,50.9
買賣,房地(土地+建物),信義區和平東路三段435巷7弄21號,121.559321,25.019338,,公寓(5樓含以下無電梯),,28.17,1578,56.02
買賣,房地(土地+建物),大安區復興南路一段79巷6號,121.54459,25.044433,,華廈(10層含以下有電梯),,8.25,690,83.64
買賣,房地(土地+建物)+車位,松山區延壽街346號,121.55968,25.056431,,大樓(11層含以上有電梯),,63.99,5200,81.26
買賣,房地(土地+建物)+車位,士林區士東路91巷11號,121.529248,25.112853,,華廈(10層含以下有電梯),,58.27,2850,48.91
買賣,房地(土地+建物)+車位,士林區中正路223巷56號,121.52649,25.094047,,華廈(10層含以下有電梯),,66.28,4700,70.91
買賣,房地(土地+建物),北投區復興四路12巷1號,121.500524,25.141618,,華廈(10層含以下有電梯),,11.86,520,43.84
買賣,房地(土地+建物)+車位,士林區社中街210巷16號,121.509185,25.091346,,大樓(11層含以上有電梯),,34.37,1430,49.78
買賣,房地(土地+建物)+車位,南港區研究院路二段86號,121.615362,25.045085,,大樓(11層含以上有電梯),,81.76,4188,52.39
買賣,房地(土地+建物),大安區仁愛路四段46號,121.547008,25.03761,,大樓(11層含以上有電梯),,17.13,2380,138.94
買賣,房地(土地+建物)+車位,大安區臥龍街291號,121.558504,25.017141,,華廈(10層含以下有電梯),,30.23,1888,72.3
買賣,房地(土地+建物),中正區羅斯福路四段161號,121.537582,25.009895,,大樓(11層含以上有電梯),,24.08,1850,76.83
買賣,房地(土地+建物),文山區辛亥路四段101巷140弄11號,121.562522,25.006564,,透天厝,,25.38,900,35.46
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,62.47,3791,67.83
買賣,房地(土地+建物)+車位,北投區文林北路136號,121.516713,25.10638,,大樓(11層含以上有電梯),,60.1,4500,74.88
買賣,房地(土地+建物)+車位,大安區臥龍街291號,121.558504,25.017141,,華廈(10層含以下有電梯),,34.94,2320,74.97
買賣,房地(土地+建物),北投區吉利街39巷11號,121.505433,25.118706,,公寓(5樓含以下無電梯),,26.01,1210,46.52
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.51,3372,110.79
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,81.33,4745,69.8
買賣,房地(土地+建物)+車位,文山區萬芳路107巷26號,121.56176,24.996766,,大樓(11層含以上有電梯),,33.68,2000,59.38
買賣,房地(土地+建物),北投區中山路1號,121.505011,25.137304,,大樓(11層含以上有電梯),,29.32,1730,59
買賣,房地(土地+建物)+車位,北投區天母西路117巷32弄1號,121.524705,25.120536,,大樓(11層含以上有電梯),,173.07,14168,81.86
買賣,房地(土地+建物),士林區中山北路七段190巷1號,121.533137,25.125077,,公寓(5樓含以下無電梯),,43.05,1800,41.81
買賣,房地(土地+建物)+車位,士林區中山北路七段14巷31號,121.531991,25.11866,,華廈(10層含以下有電梯),,73.51,3688,50.17
買賣,房地(土地+建物),萬華區青年路68巷3弄1號,121.502048,25.023727,,華廈(10層含以下有電梯),,47.54,2160,45.44
買賣,房地(土地+建物)+車位,南港區忠孝東路七段511號,121.612075,25.052876,,華廈(10層含以下有電梯),,81.63,3570,55.02
買賣,房地(土地+建物),北投區石牌路一段39巷70弄16號,121.510468,25.115513,,公寓(5樓含以下無電梯),,23.78,1130,47.52
買賣,房地(土地+建物)+車位,士林區忠誠路一段116號,121.528775,25.105789,,大樓(11層含以上有電梯),,77.51,4908,63.32
買賣,房地(土地+建物)+車位,士林區社正路17巷1號,121.509067,25.089714,,華廈(10層含以下有電梯),,43.18,1868,46.8
買賣,房地(土地+建物)+車位,大安區和平東路一段176號,121.523582,25.026803,,大樓(11層含以上有電梯),,68.45,5443,79.52
買賣,房地(土地+建物),士林區中山北路七段219巷6號,121.532459,25.127036,,華廈(10層含以下有電梯),,29.66,1720,57.99
租賃,房地(土地+建物),中山區大直街20巷21號,121.545098,25.081372,4,公寓(5樓含以下無電梯),690103,17.6,4,1988.64
買賣,房地(土地+建物),內湖區康樂街72巷17弄96號,121.616575,25.070834,5,公寓(5樓含以下無電梯),730917,36.76,1650,44.89
買賣,房地(土地+建物)+車位,內湖區民權東路六段123巷20弄21號,121.592145,25.069963,10,華廈(10層含以下有電梯),941025,34.56,1990,76.96
租賃,建物,中山區南京東路三段89巷27弄6號,121.538141,25.053678,10,華廈(10層含以下有電梯),1061002,22.86,6,2755.91
租賃,建物,士林區中山北路六段157巷11號,121.524117,25.106847,15,其他,971002,43.46,6,1449.61
租賃,建物,士林區中山北路六段195巷6號,121.524478,25.107972,14,住宅大樓(11層含以上有電梯),970506,55.64,7,1312.01
買賣,房地(土地+建物)+車位,內湖區新富街56號,121.583138,25.059519,13,大樓(11層含以上有電梯),990209,98.59,5700,57.82
買賣,房地(土地+建物),內湖區東湖路106巷7弄26號,121.613681,25.068064,5,公寓(5樓含以下無電梯),750829,29.06,1310,45.08
租賃,建物,信義區松德路46號,121.576617,25.038906,12,住宅大樓(11層含以上有電梯),740409,25.81,4,1394.81
買賣,房地(土地+建物),中山區民生東路三段36號,121.540485,25.057596,9,華廈(10層含以下有電梯),850202,21.71,1608,74.07
買賣,房地(土地+建物),中山區新生北路三段26號,121.527398,25.063721,12,大樓(11層含以上有電梯),700703,9.61,625,65.04
