CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,72.6,4518,77
買賣,房地(土地+建物),士林區社中街152巷31號,121.510638,25.090886,,公寓(5樓含以下無電梯),,22.38,1080,48.26
買賣,房地(土地+建物),北投區公館路257巷11號,121.537284,25.00513,,公寓(5樓含以下無電梯),,49.62,2000,40.31
買賣,房地(土地+建物),信義區基隆路一段131號,121.566559,25.04425,,大樓(11層含以上有電梯),,8.24,1060,128.64
買賣,房地(土地+建物),信義區吳興街118巷16弄1號,121.56067,25.029805,,華廈(10層含以下有電梯),,30.82,2100,68.14
買賣,房地(土地+建物),文山區景興路114巷1號,121.5443,24.99369,,公寓(5樓含以下無電梯),,32.05,1560,48.67
買賣,房地(土地+建物),士林區和豐街41號,121.517675,25.08256,,公寓(5樓含以下無電梯),,32.26,1360,42.16
買賣,房地(土地+建物),北投區同德街41號,121.528572,25.124258,,公寓(5樓含以下無電梯),,31.62,1360,43.01
買賣,房地(土地+建物),松山區光復北路177巷16號,121.556206,25.057834,,公寓(5樓含以下無電梯),,51.78,4500,86.91
買賣,房地(土地+建物),松山區八德路四段72巷16弄11號,121.559793,25.046344,,華廈(10層含以下有電梯),,13.7,900,65.69
買賣,房地(土地+建物),文山區汀州路四段140巷2弄6號,121.535635,25.005386,,公寓(5樓含以下無電梯),,19.71,1120,56.82
買賣,房地(土地+建物)+車位,信義區松德路156號,121.573691,25.036375,,大樓(11層含以上有電梯),,74.15,5050,68.11
買賣,房地(土地+建物),南港區忠孝東路六段126號,121.585168,25.047815,,大樓(11層含以上有電梯),,10.06,940,93.44
買賣,房地(土地+建物),士林區忠誠路二段154巷6號,121.532511,25.115241,,公寓(5樓含以下無電梯),,33.21,1600,48.18
買賣,房地(土地+建物),大安區安和路二段201號,121.550445,25.026591,,大樓(11層含以上有電梯),,46.58,5000,107.34
買賣,房地(土地+建物)+車位,內湖區民權東路六段190巷117弄36號,121.594504,25.067554,5,華廈(10層含以下有電梯),980604,28.75,1598,55.58
買賣,房地(土地+建物)+車位,內湖區成功路四段167巷1號,121.594494,25.083359,17,大樓(11層含以上有電梯),940627,70.19,5100,83.94
買賣,房地(土地+建物),中山區北安路608巷4弄6號,121.549307,25.081415,5,華廈(10層含以下有電梯),850216,13.56,1088,80.24
租賃,建物,中山區南京東路二段106號,121.532065,25.051857,18,住宅大樓(11層含以上有電梯),990917,13.68,3,2412.28
買賣,房地(土地+建物),中山區新生北路二段62巷36號,121.526096,25.056142,9,華廈(10層含以下有電梯),800225,18.35,1200,65.4
租賃,建物,中山區德惠街6號,121.523326,25.066624,12,住宅大樓(11層含以上有電梯),1091211,30.58,6,1965.66
租賃,建物,信義區信義路五段116號,121.568527,25.032578,19,住宅大樓(11層含以上有電梯),980702,35.7,7,1904.76
租賃,建物,士林區芝玉路二段52巷6號,121.535197,25.111637,5,公寓(5樓含以下無電梯),750612,34.19,3,965.19
買賣,房地(土地+建物),中山區中山北路二段59巷41號,121.524908,25.055955,16,大樓(11層含以上有電梯),880928,19.98,1235,61.81
租賃,建物,北投區明德路26號,121.517835,25.107196,15,住宅大樓(11層含以上有電梯),1050425,74.16,8,1024.81
租賃,建物,大安區敦化南路一段190巷36號,121.5471,25.042555,7,華廈(10層含以下有電梯),720929,61.67,9,1498.3
租賃,建物,中山區錦州街23巷1號,121.525221,25.060573,14,住宅大樓(11層含以上有電梯),1041204,27.29,4,1924.2
買賣,房地(土地+建物),中山區北安路826號,121.557305,25.08424,14,大樓(11層含以上有電梯),991224,14.19,1280,90.2
買賣,房地(土地+建物)+車位,內湖區文湖街81巷11號,121.563928,25.086886,9,華廈(10層含以下有電梯),840307,56.56,3350,68.83
租賃,建物,中山區雙城街25巷1號,121.52443,25.066275,13,住宅大樓(11層含以上有電梯),1041221,41.33,8,1838.86
買賣,房地(土地+建物),內湖區陽光街92巷18弄1號,121.585323,25.0758,5,公寓(5樓含以下無電梯),711224,21.24,1131,53.25
買賣,房地(土地+建物),中山區錦州街46號,121.525783,25.060174,13,大樓(11層含以上有電梯),730927,12.09,500,41.36
買賣,房地(土地+建物)+車位,內湖區內湖路三段236號,121.588399,25.088585,14,大樓(11層含以上有電梯),1020731,35.42,1815,51.24
買賣,房地(土地+建物)+車位,內湖區文湖街36號,121.561755,25.086507,15,大樓(11層含以上有電梯),991230,107.23,7580,77.92
