CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
買賣,內湖區,房地(土地+建物)+車位,內湖路三段236號,121.588399 ,25.088585 ,1100410,土地:1建物:1車位:1,七層,014,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020731,35.42,2,2,1,有,有,,1815,51.24,是,坡道平面1,4.54,0,有,,,,建築物含有：其他增建。
買賣,內湖區,房地(土地+建物)+車位,文湖街36號,121.561755 ,25.086507 ,1100412,土地:1建物:1車位:2,八層,015,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991230,107.23,6,2,3,有,有,,7580,77.92,否,坡道平面2,16.37,500,有,,,,
租賃,南港區,建物,經貿二路235巷21號,121.616007 ,25.061166 ,1100324,土地:建物:1車位:2,十五層,021,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,103.97,3,2,3,有,有,有,13,1250.36,是,坡道平面2,16.68,0,,,,,
租賃,信義區,建物,東興路51號,121.566399 ,25.047650 ,1100325,土地:建物:1車位:,五層,011,辦公商業大樓,工業用,鋼筋混凝土造,0820205,135.67,,,,無,有,無,18,1341.49,否,,0,0,,,,,分割物件
租賃,中正區,建物,杭州南路一段18巷6號,121.524874 ,25.038789 ,1100401,土地:建物:1車位:,二層,004,公寓(5樓含以下無電梯),,加強磚造,,33.99,3,1,1,有,無,無,4,1235.66,否,,0,0,,,,,
買賣,中山區,房地(土地+建物)+車位,民權東路二段6號,121.528114 ,25.062424 ,1100331,土地:1建物:2車位:1,八層,012,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0681022,39.68,3,1,2,有,有,,2226,56.1,是,坡道平面1,0,0,有,,,,建築物含有：陽台外推。
買賣,內湖區,車位,康樂街136巷30弄1號,121.617737 ,25.071919 ,1100416,土地:0建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,屋頂突出物,地下一層,地下二層",015,,見其他登記事項,鋼筋混凝土造,1090424,4.99,,,,有,有,,170,0,-,坡道機械1,0,170,有,,,,僅車位交易。
買賣,中山區,車位,合江街55巷11號,121.539662 ,25.056985 ,1100406,土地:1建物:1車位:1,"一層,地下一層,地下二層,地下三層",005,,共有部分,鋼筋混凝土造,0980414,15.89,,,,有,有,,250,0,-,升降平面1,15.88,250,有,,,,僅車位交易。
買賣,中山區,車位,大直街20巷11號,121.545664 ,25.081382 ,1100425,土地:1建物:1車位:1,地下三層,015,,停車空間,鋼筋混凝土造,0850826,11.36,,,,有,有,,135,0,-,坡道平面1,0,135,有,,,,僅車位交易。
買賣,內湖區,車位,大湖山莊街176巷16號,121.599287 ,25.087609 ,1100427,土地:1建物:1車位:1,"地下一層,地下二層,地下三層",014,,見其他登記事項,鋼筋混凝土造,0971127,7.29,,,,有,有,,220,0,-,坡道平面1,7.25,220,有,,,,僅車位交易。
租賃,文山區,建物,景華街66號,121.544977 ,24.995087 ,1100404,土地:建物:1車位:,四層,004,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0640305,30.79,3,2,3,有,無,無,3,844.43,否,,0,0,,,,,附部分家電
租賃,大同區,建物,太原路16號,121.514922 ,25.049723 ,1100401,土地:建物:1車位:,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000418,27.8,2,2,1,有,有,有,5,1870.5,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
