CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
租賃,內湖區,建物,成功路二段317巷1號,121.590931 ,25.069988 ,1100331,土地:建物:1車位:1,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040630,100.57,4,2,3,有,無,有,11,1093.77,是,坡道平面1,0,0,,,,,
租賃,內湖區,建物,內湖路三段116號,121.590419 ,25.086694 ,1100406,土地:建物:1車位:,一層,005,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980119,20.82,1,2,1,有,無,無,3,1536.98,否,,0,0,,,,,
買賣,內湖區,房地(土地+建物),成功路二段250巷12弄1號,121.589662 ,25.065891 ,1100404,土地:8建物:1車位:,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690529,28.24,3,1,1,有,無,,1236,43.77,否,,0,0,無,,,,建築物含有：其他增建。
買賣,內湖區,房地(土地+建物),麗山街328巷11號,121.573684 ,25.082810 ,1100408,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730720,34.53,3,2,2,有,無,,1703,49.32,否,,0,0,無,,,,建築物含有：頂樓加蓋、其他增建。
買賣,內湖區,房地(土地+建物),內湖路三段60巷12弄1號,121.592165 ,25.088143 ,1100319,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681128,24.87,3,2,2,有,無,,934,37.56,否,,0,0,無,,,,建築物含有：其他增建。
租賃,中山區,建物,新生北路一段41號,121.530503 ,25.047764 ,1100319,土地:建物:1車位:,三層,012,辦公商業大樓,商業用,鋼筋混凝土造,0730721,30.34,,,,無,無,有,4,1153.59,否,,0,0,,,,,
租賃,士林區,建物,天母西路16號,121.527947 ,25.118331 ,1100401,土地:建物:1車位:1,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651106,49.16,3,2,2,有,有,有,7,1527.88,否,坡道平面1,9.89,6000,,,,,續租。
買賣,中山區,房地(土地+建物),龍江路146號,121.540364 ,25.054404 ,1100412,土地:1建物:1車位:,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711210,21.03,,,,無,有,,1430,68,否,,0,0,有,,,,
租賃,中山區,建物,松江路156巷11號,121.531949 ,25.054445 ,1100403,土地:建物:1車位:,一層,004,店面(店鋪),住家用,鋼筋混凝土造,0610831,19.05,1,1,1,有,無,有,5,2687.66,否,,0,0,,,,,含增建或未登記建物。租賃期間含免租金裝潢期。
租賃,中山區,建物,民生東路一段26號,121.523758 ,25.057898 ,1100405,土地:建物:1車位:,七層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0951012,13.11,0,1,1,有,有,有,3,1906.94,否,,0,0,,,,,含增建或未登記建物。
租賃,信義區,建物,吳興街341號,121.566025 ,25.026530 ,1100401,土地:建物:1車位:,一層,004,店面(店鋪),商業用,鋼筋混凝土造,0680801,34.25,,,,無,無,無,5,1459.85,否,,0,0,,,,,續租。
租賃,大安區,房地(土地+建物),忠孝東路三段248巷13弄6號,121.542096 ,25.040350 ,1100331,土地:1建物:1車位:,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710313,35.6,,,,無,有,有,4,1235.96,否,,0,0,,,,,
買賣,中山區,房地(土地+建物),新生北路三段61號,121.528054 ,25.065942 ,1100409,土地:4建物:1車位:,六層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0681224,8.69,1,1,1,有,有,,428,49.25,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,內湖區,房地(土地+建物)+車位,成功路五段450巷1號,121.607325 ,25.074286 ,1100410,土地:1建物:1車位:1,七層,014,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881022,50.7,3,2,2,有,有,,3416,67.38,是,坡道平面1,0,250,有,,,,
買賣,中山區,房地(土地+建物),新生北路三段56巷1號,121.527298 ,25.065387 ,1100324,土地:1建物:1車位:,二層,012,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700410,11.85,1,1,1,有,有,,610,51.48,否,,0,0,有,,,,
租賃,松山區,建物,南京東路五段236號,121.566002 ,25.051096 ,1100401,土地:建物:1車位:,五層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,29.64,2,1,1,有,有,有,5,1556.78,否,,0,0,,,,,含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物),成功路四段61巷25弄11號,121.592429 ,25.080396 ,1100402,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691203,37.11,8,0,8,有,無,,1800,48.5,否,,0,0,無,,,,建築物含有：陽台外推、頂樓加蓋。
租賃,中山區,建物,民生東路三段88巷1號,121.543145 ,25.057299 ,1100405,土地:建物:1車位:,四層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0750314,33.1,3,2,2,有,有,有,4,1208.46,否,,0,0,,,,,附傢俱家電、含管理費
租賃,北投區,建物,中央北路四段515巷36號,121.469350 ,25.126640 ,1100331,土地:建物:1車位:,九層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021129,31.4,2,2,2,有,無,有,4,1242.04,否,,0,0,,,,,
租賃,北投區,房地(土地+建物),崇仁路一段51號,121.501458 ,25.127105 ,1100402,土地:1建物:1車位:,一層,003,店面(店鋪),住家用,加強磚造,0590803,26.91,1,1,1,有,無,無,3,1226.31,否,,0,0,,,,,
租賃,中山區,建物,林森北路351號,121.525645 ,25.056923 ,1100401,土地:建物:1車位:1,十三層,024,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,24.61,2,2,1,有,有,有,6,2559.93,是,坡道平面1,0,0,,,,,續租。含管理費、稅金或水電等費用。
租賃,中山區,建物,中山北路二段65巷6號,121.523841 ,25.057034 ,1100401,土地:建物:1車位:,六層,014,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,20.98,3,1,1,有,有,有,3,1429.93,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
買賣,中山區,房地(土地+建物),新生北路二段66號,121.527210 ,25.056114 ,1100407,土地:1建物:1車位:,四層,012,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690721,8.62,1,1,1,有,有,,485,56.26,否,,0,0,有,,,,
租賃,中山區,建物,林森北路361號,121.525844 ,25.057400 ,1100406,土地:建物:1車位:,十五層,018,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,31.43,1,2,1,有,有,有,6,1909,否,,0,0,,,,,含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物)+車位,成功路四段176號,121.593112 ,25.083124 ,1100415,土地:1建物:1車位:2,六層,029,大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,93.58,3,2,2,有,有,,6588,82.51,否,坡道平面2,17.61,320,有,,,,裝潢戶
租賃,中山區,建物,長春路258巷26號,121.538976 ,25.053567 ,1100331,土地:建物:1車位:,二層,010,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0910816,16.97,2,1,1,有,有,有,3,1591.04,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物),康樂街136巷15弄16號,121.618036 ,25.072258 ,1100316,土地:3建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721103,28.86,3,2,2,有,無,,1090,37.77,否,,0,0,無,,,,
買賣,內湖區,房地(土地+建物),東湖路113巷96號,121.616674 ,25.072275 ,1100321,土地:1建物:1車位:,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770303,34.75,3,2,2,有,有,,1584,45.58,否,,0,0,無,,,,建築物含有：陽台外推。
租賃,中山區,建物,新生北路二段68巷6號,121.526669 ,25.056690 ,1100401,土地:建物:1車位:,七層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,15.95,1,1,1,有,有,有,3,1880.88,否,,0,0,,,,,租賃範圍不含車位，且無法區分車位面積。續租。含管理費、稅金或水電等費用。
租賃,北投區,建物,光明路241號,121.504121 ,25.136505 ,1100405,土地:建物:1車位:1,十八層,019,套房(1房(1廳)1衛),住家用,鋼筋混凝土造,0980818,36.91,1,1,1,有,有,有,3,812.79,是,坡道平面1,12.12,0,,,,,
買賣,中山區,房地(土地+建物)+車位,樂群二路296號,121.562392 ,25.080041 ,1100327,土地:1建物:1車位:1,七層,011,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970603,21.65,,,,無,有,,1550,71.59,是,坡道機械1,5.74,0,有,,,,
買賣,內湖區,房地(土地+建物),金湖路136號,121.598888 ,25.080116 ,1100329,土地:1建物:1車位:,二十一層,026,大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,102.58,4,2,3,有,有,,10443,101.8,否,,0,0,有,,,,
租賃,松山區,房地(土地+建物),民生東路四段112巷26號,121.554395 ,25.056356 ,1100402,土地:1建物:1車位:,見其他登記事項,005,店面(店鋪),見使用執照,鋼筋混凝土造,0710320,46.88,0,0,0,有,無,有,6,1343.86,否,,0,0,,,,,
買賣,內湖區,房地(土地+建物),民權東路六段280巷155弄211號,121.609773 ,25.068511 ,1100403,土地:1建物:1車位:,"八層,九層",011,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860710,13.98,2,1,1,有,有,,909,65.02,否,,0,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,中山區,房地(土地+建物)+車位,農安街6號,121.523267 ,25.064785 ,1100408,土地:1建物:1車位:1,四層,014,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,23.26,1,1,1,有,有,,1380,59.33,是,坡道平面1,0,0,有,,,,
租賃,中正區,房地(土地+建物),南海路46號,121.515584 ,25.032070 ,1100405,土地:1建物:1車位:,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961017,18.48,2,1,1,有,有,有,3,1731.6,否,,0,0,,,,,
租賃,中正區,建物,和平西路一段11號,121.521484 ,25.027055 ,1100401,土地:建物:車位:,七層,011,套房(1房(1廳)1衛),商業用,鋼筋混凝土造,,11.76,1,0,1,有,無,有,1,1139.46,否,,0,0,,,,,此為分租套房，房號712，第7層分成23間，一間平均面積為38.89平方公尺
買賣,內湖區,房地(土地+建物),江南街116巷1號,121.576098 ,25.076650 ,1100416,土地:1建物:1車位:,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,25.75,2,1,1,有,有,,550,21.36,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
租賃,中正區,建物,延平南路156號,121.508422 ,25.038383 ,1100406,土地:建物:車位:,四層,004,套房(1房(1廳)1衛),,鋼筋混凝土造,,5.77,1,0,1,有,無,有,1,2079.72,否,,0,0,,,,,此為分租套房，房號405，第4層分成4間，一間平均面積為19.07平方公尺
租賃,中正區,建物,中華路一段91巷1號,121.507717 ,25.037960 ,1100402,土地:建物:車位:,四層,004,透天厝,,加強磚造,,9.92,2,1,1,有,無,有,2,1955.65,-,,0,0,,,,,此為分租套房，第4層分成2間，一間平均面積為32.79平方公尺
買賣,內湖區,房地(土地+建物)+車位,文德路210巷30弄86號,121.585561 ,25.076872 ,1090924,土地:1建物:1車位:1,二十二層,025,大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091224,56.94,3,2,2,有,有,,4825,92.87,否,坡道平面1,8,280,有,,,,預售屋、或土地及建物分次登記案件。
租賃,大同區,建物,重慶北路三段161號,121.513951 ,25.068787 ,1100401,土地:建物:1車位:,三層,004,公寓(5樓含以下無電梯),,加強磚造,,14.7,2,1,1,有,無,有,2,1360.54,否,,0,0,,,,,分租套房
買賣,北投區,房地(土地+建物)+車位,文林北路216號,121.514523 ,25.108035 ,1100412,土地:1建物:1車位:1,"二層,電梯樓梯間",,大樓(11層含以上有電梯),商業用,,,82.03,3,1,1,有,有,,3300,40.23,是,坡道平面1,0,0,有,,,,
買賣,松山區,房地(土地+建物),八德路二段346號,121.545323 ,25.047702 ,1100403,土地:2建物:1車位:,六層,,大樓(11層含以上有電梯),住家用,,,10.2,1,1,1,有,有,,1100,107.84,否,,0,0,有,,,,
買賣,大同區,房地(土地+建物)+車位,延平北路一段106號,121.511714 ,25.052693 ,1060727,土地:1建物:1車位:1,三層,,大樓(11層含以上有電梯),住家用,,,59.56,3,2,2,有,有,,3800,71.57,否,坡道平面1,9.75,235,有,,,,預售屋、或土地及建物分次登記案件。
買賣,文山區,房地(土地+建物),羅斯福路五段97巷1號,121.539455 ,25.005642 ,1100404,土地:1建物:1車位:,"四層,陽臺",,公寓(5樓含以下無電梯),,,,30.62,4,2,1,有,無,,1301,42.49,否,,0,0,無,,,,建築物含有：陽臺外推、其他增建。
買賣,北投區,房地(土地+建物),磺港路181號,121.503857 ,25.130210 ,1100316,土地:2建物:1車位:,三層,,公寓(5樓含以下無電梯),住家用,,,30.62,3,2,2,有,無,,1165,38.05,否,,0,0,無,,,,
買賣,信義區,房地(土地+建物),松山路496號,121.577910 ,25.038509 ,1100416,土地:1建物:1車位:,四層,,華廈(10層含以下有電梯),住家用,,,37.72,3,2,2,有,無,,2300,60.98,否,,0,0,有,,,,
買賣,信義區,房地(土地+建物),永吉路326巷36號,121.575370 ,25.044354 ,1100322,土地:1建物:1車位:,"一層,平台,騎樓",,公寓(5樓含以下無電梯),住家用,,,20.6,2,1,1,有,無,,880,42.72,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：其他增建。
買賣,士林區,房地(土地+建物),中山北路七段14巷65弄1號,121.534709 ,25.121766 ,1100405,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,31.9,3,2,2,有,有,,1368,42.88,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。鐵鋁窗增建
買賣,文山區,房地(土地+建物),福興路95巷26號,121.546163 ,25.005137 ,1100327,土地:1建物:1車位:,二層,,華廈(10層含以下有電梯),住家用,,,29.39,2,1,2,有,有,,1440,49,否,,0,0,有,,,,
買賣,大安區,房地(土地+建物)+車位,金山南路二段186號,121.526011 ,25.028303 ,1100322,土地:4建物:1車位:1,十九層,,大樓(11層含以上有電梯),住家用,,,53.29,,,,無,有,,6400,153.48,否,坡道平面1,13.74,330,有,,,,
買賣,萬華區,房地(土地+建物),長沙街二段146號,121.501521 ,25.040541 ,1100405,土地:2建物:1車位:,十五層,,大樓(11層含以上有電梯),住家用,,,28.27,3,2,1,有,有,,1965,69.51,否,,0,0,有,,,,
買賣,北投區,房地(土地+建物),光明路201號,121.503452 ,25.136187 ,1100206,土地:2建物:1車位:,二十一層,,大樓(11層含以上有電梯),住家用,,,20.43,,,,無,有,,1430,70,否,,0,0,有,,,,
買賣,文山區,房地(土地+建物),木柵路四段33巷1號,121.571050 ,24.993939 ,1100405,土地:1建物:1車位:,四層,,華廈(10層含以下有電梯),住家用,,,15.93,1,0,1,有,有,,925,58.07,否,,0,0,有,,,,
買賣,中正區,房地(土地+建物)+車位,羅斯福路三段211號,121.528486 ,25.020671 ,1080321,土地:1建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,屋頂突出物,騎樓,地下一層,地下二層,地下三層,地下四層",,大樓(11層含以上有電梯),見其他登記事項,,,36.63,2,2,2,有,有,,3150,114.59,否,升降機械1,11.06,220,有,,,,預售屋、或土地及建物分次登記案件。
買賣,信義區,房地(土地+建物),和平東路三段386號,121.557914 ,25.018913 ,1100414,土地:1建物:1車位:,十層,,大樓(11層含以上有電梯),住家用,,,32.87,3,2,2,有,有,,2200,66.93,否,,0,0,有,,,,
買賣,信義區,房地(土地+建物),虎林街70巷36號,121.575723 ,25.044491 ,1100326,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),見其他登記事項,,,30.31,3,2,1,有,有,,1928,63.61,否,,0,0,無,,,,
買賣,文山區,房地(土地+建物),景福街3巷21號,121.539661 ,24.998692 ,1100408,土地:2建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,32,3,2,2,有,無,,1600,50,否,,0,0,無,,,,
買賣,松山區,房地(土地+建物),富錦街572巷1號,121.567291 ,25.062497 ,1100323,土地:1建物:1車位:,三層,,公寓(5樓含以下無電梯),住家用,,,31.61,3,2,1,有,無,,1928,60.99,否,,0,0,無,,,,
買賣,大安區,房地(土地+建物)+車位,仁愛路三段5巷6號,121.533362 ,25.039321 ,1100218,土地:1建物:3車位:2,十層,,大樓(11層含以上有電梯),住家用,,,127.68,,,,無,有,,16200,145.04,否,坡道平面2,20.95,720,有,,,,
買賣,萬華區,房地(土地+建物)+車位,西園路一段111號,121.499812 ,25.038157 ,1100318,土地:1建物:1車位:1,七層,,大樓(11層含以上有電梯),住家用,,,56.66,3,2,2,有,有,,2426,51.89,否,坡道平面1,13.38,180,有,,,,
買賣,南港區,土地,新光段二小段506號,121.613851 ,25.055029 ,1100409,土地:4建物:0車位:,,,,,,,0,,,,無,無,,17537,120,-,,0,0,無,,,,
買賣,士林區,房地(土地+建物)+車位,天玉街103巷1號,121.531364 ,25.123538 ,1100407,土地:1建物:1車位:1,四層,,華廈(10層含以下有電梯),住家用,,,52.04,4,2,2,有,無,,2888,55.5,是,坡道平面1,0,250,有,,,,建築物含有：其他增建。
買賣,士林區,房地(土地+建物),通河東街一段124巷6弄6號,121.516278 ,25.086331 ,1100312,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,25.43,4,3,2,有,無,,1050,41.29,否,,0,0,無,,,,建築物含有：頂樓加蓋、陽台外推。
買賣,大安區,房地(土地+建物),和平東路三段119巷10弄1號,121.551149 ,25.024858 ,1100402,土地:1建物:1車位:,三層,,公寓(5樓含以下無電梯),住家用,,,23.39,3,2,1,有,無,,1880,80.38,否,,0,0,無,,,,建築物含有：陽台外推。
買賣,萬華區,房地(土地+建物)+車位,青年路152巷21號,121.501840 ,25.020613 ,1100218,土地:4建物:1車位:1,九層,,大樓(11層含以上有電梯),住家用,,,26.71,3,2,2,有,有,,1200,44.93,是,坡道平面1,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,大同區,房地(土地+建物)+車位,延平北路一段106號,121.511714 ,25.052693 ,1070817,土地:1建物:1車位:2,十九層,,大樓(11層含以上有電梯),住家用,,,81.87,4,2,2,有,有,,5340,78.42,否,坡道平面2,19.51,450,有,,,,預售屋、或土地及建物分次登記案件。
買賣,士林區,房地(土地+建物),葫蘆街23巷6號,121.510040 ,25.079484 ,1100225,土地:1建物:1車位:,三層,,公寓(5樓含以下無電梯),住家用,,,17.09,2,1,1,有,無,,658,38.5,否,,0,0,無,,,,
買賣,大安區,房地(土地+建物),潮州街136號,121.527863 ,25.028596 ,1100327,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),,,,50.06,4,2,2,有,無,,4050,80.9,否,,0,0,無,,,,建築物含有：其他增建。
買賣,中正區,房地(土地+建物)+車位,汀州路三段61號,121.528099 ,25.018103 ,1100320,土地:2建物:1車位:1,四層,,大樓(11層含以上有電梯),見其他登記事項,,,43.48,,,,無,有,,3210,92.68,否,坡道平面1,12.08,300,有,,,,
買賣,信義區,房地(土地+建物)+車位,吳興街600巷36號,121.569315 ,25.020928 ,1100321,土地:1建物:1車位:1,一層,,華廈(10層含以下有電梯),住家用,,,33.53,3,2,2,有,有,,1650,49.21,是,坡道機械1,0,0,有,,,,
買賣,南港區,房地(土地+建物)+車位,重陽路461號,121.610510 ,25.059642 ,1100309,土地:1建物:1車位:3,十二層,,大樓(11層含以上有電梯),住家用,,,93.58,4,2,2,有,有,,7250,77.47,是,坡道平面3,0,0,有,,,,
買賣,萬華區,房地(土地+建物),環河南路一段71號,121.501915 ,25.045020 ,1100412,土地:1建物:1車位:,二層,,大樓(11層含以上有電梯),住家用,,,5.58,,,,無,有,,268,48.03,否,,0,0,有,,,,
買賣,萬華區,房地(土地+建物),隆昌街36號,121.505078 ,25.041190 ,1100411,土地:1建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,11.35,1,0,1,有,無,,460,40.53,否,,0,0,無,,,,建築物含有：陽台外推。
買賣,士林區,房地(土地+建物),後街21巷11號,121.524863 ,25.098362 ,1100412,土地:1建物:2車位:,七層,,華廈(10層含以下有電梯),住家用,,,14.49,1,1,1,有,無,,770,53.14,否,,0,0,有,,,,建築物含有：陽台外推、其他增建。特殊交易情況、條件：含租約。花台外移
買賣,大安區,房地(土地+建物),建國南路一段331號,121.538210 ,25.034706 ,1100411,土地:1建物:1車位:,十四層,,大樓(11層含以上有電梯),住家用,,,27.83,2,1,2,有,有,,2988,107.37,否,,0,0,有,,,,建築物含有：其他增建、陽台外推、頂樓加蓋。
買賣,松山區,土地,美仁段一小段771號,121.553417 ,25.050007 ,1100419,土地:2建物:0車位:,,,,,,,0,,,,無,無,,98,18.32,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。110年度臺北市政府以容積代金基金採購私有公共設施保留地
買賣,大安區,房地(土地+建物),忠孝東路三段248巷13弄11號,121.542184 ,25.040773 ,1100410,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,32.05,3,2,1,有,有,,2380,74.26,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。
買賣,士林區,房地(土地+建物),社中街231巷26號,121.507257 ,25.090613 ,1091031,土地:1建物:1車位:,"三層,陽臺",,公寓(5樓含以下無電梯),住家用,,,25.65,3,2,1,有,無,,600,23.39,否,,0,0,無,,,,本交易為依土地法34-1條規定辦理
買賣,大安區,房地(土地+建物)+車位,和平東路二段175巷16號,121.541677 ,25.025653 ,1100320,土地:2建物:1車位:1,六層,,華廈(10層含以下有電梯),住家用,,,22.6,2,1,1,有,有,,2256,99.82,是,塔式車位1,0,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,大同區,房地(土地+建物)+車位,延平北路一段106號,121.511714 ,25.052693 ,1060910,土地:1建物:1車位:1,十二層,,大樓(11層含以上有電梯),住家用,,,59.64,3,2,2,有,有,,3998,75.43,否,坡道平面1,9.75,235,有,,,,預售屋、或土地及建物分次登記案件。
買賣,大安區,房地(土地+建物),羅斯福路三段331號,121.532354 ,25.016961 ,1100411,土地:1建物:1車位:,七層,,大樓(11層含以上有電梯),見使用執照,,,42.62,2,0,1,有,有,,3436,80.62,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,萬華區,房地(土地+建物)+車位,環河南路三段131號,121.491300 ,25.023707 ,1091208,土地:1建物:1車位:1,十層,,大樓(11層含以上有電梯),住家用,,,67.88,4,2,2,有,有,,3228,51.02,否,升降平面1,8.14,180,有,,,,
買賣,北投區,房地(土地+建物),中山北路七段219巷3弄101號,121.530300 ,25.127744 ,1100401,土地:1建物:1車位:,二層,,華廈(10層含以下有電梯),住家用,,,21.92,3,2,1,有,有,,970,44.25,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,信義區,房地(土地+建物),忠孝東路五段796號,121.580784 ,25.042320 ,1100412,土地:3建物:1車位:,九層,,大樓(11層含以上有電梯),見其他登記事項,,,10.78,1,1,1,有,有,,970,89.98,否,,0,0,有,,,,
買賣,信義區,房地(土地+建物)+車位,松勤街76號,121.564303 ,25.031813 ,1100316,土地:1建物:1車位:2,三層,,華廈(10層含以下有電梯),住家用,,,113.49,4,2,3,有,有,,13858,122.11,是,坡道平面2,27.37,0,有,,,,
買賣,南港區,房地(土地+建物),成福路194巷6號,121.587890 ,25.040737 ,1100410,土地:1建物:1車位:,八層,,華廈(10層含以下有電梯),住家用,,,17.66,2,2,1,有,有,,1300,73.61,否,,0,0,有,,,,建築物含有：夾層。
買賣,士林區,房地(土地+建物),德行東路90巷33弄1號,121.528220 ,25.106104 ,1100327,土地:1建物:1車位:,四層,,公寓(5樓含以下無電梯),住家用,,,25.57,2,2,1,有,無,,1580,61.79,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。陽台向外加裝凸窗之增建物
買賣,士林區,房地(土地+建物),文林路661巷11號,121.521815 ,25.100483 ,1100320,土地:1建物:1車位:,"四層,五層",,華廈(10層含以下有電梯),住家用,,,18.22,4,2,2,有,無,,920,50.49,否,,0,0,有,,,,
買賣,信義區,土地,雅祥段二小段481號,121.554051 ,25.023179 ,1100428,土地:4建物:0車位:,,,,,,,0,,,,無,無,,575,15.6,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。110年度臺北市政府以容積代金基金採購私有公共設施保留地
買賣,大安區,房地(土地+建物),敦化南路一段161巷71號,121.552589 ,25.043544 ,1061107,土地:1建物:1車位:,十四層,,大樓(11層含以上有電梯),住家用,,,16.77,1,1,1,有,有,,2180,129.99,否,,0,0,有,,,,
買賣,萬華區,房地(土地+建物),和平西路三段52巷21號,121.503401 ,25.034213 ,1100316,土地:1建物:1車位:,三層,,公寓(5樓含以下無電梯),住家用,,,17.76,2,1,1,有,無,,950,53.49,否,,0,0,無,,,,
買賣,信義區,房地(土地+建物),虎林街30巷12弄6號,121.575554 ,25.047892 ,1100324,土地:1建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,21.96,3,2,2,有,無,,934,42.53,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,士林區,房地(土地+建物),中山北路六段405巷36號,121.526030 ,25.115084 ,1100406,土地:1建物:1車位:,七層,,華廈(10層含以下有電梯),住家用,,,43.11,3,2,2,有,無,,2720,63.09,否,,0,0,有,,,,建築物含有：陽台外推、頂樓加蓋、其他增建。
買賣,大安區,土地,學府段二小段346號,121.537102 ,25.042969 ,1100422,土地:1建物:0車位:,,,,,,,0,,,,無,無,,41,20.1,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。110年度臺北市政府以容積代金基金採購私有公共設施保留地
買賣,松山區,房地(土地+建物),八德路三段12巷16弄6號,121.550327 ,25.047252 ,1100420,土地:1建物:1車位:,"七層,電梯樓梯間",,華廈(10層含以下有電梯),住家用,,,50.93,3,2,2,有,有,,4500,88.36,否,,0,0,有,,,,
租賃,中山區,建物,松江路184巷26弄6號,121.530638 ,25.056716 ,1100331,土地:建物:1車位:,八層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971202,16.9,1,1,1,有,有,有,4,2366.86,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
租賃,中山區,建物,松江路266號,121.532940 ,25.059324 ,1100331,土地:建物:車位:,三層,014,辦公商業大樓,商業用,鋼筋混凝土造,0721018,212.29,3,0,0,有,有,無,35,1650,否,,0,0,,,,,承租部份面積含公設約212.29坪。
租賃,士林區,建物,天母東路43巷4弄11號,121.533068 ,25.118655 ,1100401,土地:建物:1車位:1,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850605,54,3,2,2,有,有,有,6,1111.11,是,坡道平面1,0,5000,,,,,含管理費、稅金或水電等費用。
買賣,中山區,房地(土地+建物)+車位,民權東路一段46號,121.524045 ,25.062522 ,1100320,土地:1建物:1車位:1,七層,012,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961002,16.41,0,1,1,有,有,,1050,75.46,否,升降機械1,3.49,75,有,,,,
租賃,中山區,建物,中山北路二段93巷6號,121.523435 ,25.059317 ,1100401,土地:建物:1車位:,八層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0940803,20.71,3,2,2,有,有,有,5,2414.29,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
