CASE_T,DISTRICT,CASE_F,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,RMNOTE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA
買賣,中山區,房地(土地+建物)+車位,林森北路351-355號(單號),5.33,,1100312,土地:1建物:1車位:1,七層,024,大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,69.79,4,2,2,有,有,,5200,80.19,否,坡道平面1,8.06,250,,有,,,
買賣,內湖區,房地(土地+建物)+車位,文德路210巷30弄81-85號(單號),8.73,,1070207,土地:1建物:1車位:1,三層,025,大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091224,68.19,3,2,2,有,無,,4640,72.69,否,坡道平面1,8,265,,有,,,
買賣,中山區,房地(土地+建物)+車位,新生北路二段68巷6-10號(雙號),3.06,,1100202,土地:1建物:1車位:1,三層,012,大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,36.79,2,1,1,有,有,,2198,89.39,否,坡道平面1,13.99,160,交易總價包含下列非屬不動產價格之費用：裝潢費。,有,,,
買賣,內湖區,房地(土地+建物)+車位,康樂街201巷21-25號(單號),27.94,,1100225,土地:1建物:1車位:1,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791203,52.59,4,2,2,有,有,,2250,42.78,是,坡道平面1,9.6,0,,有,,,
買賣,中山區,房地(土地+建物)+車位,敬業三路162巷71-75號(雙號),14.24,,1100222,土地:1建物:1車位:1,二層,012,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,47.04,3,2,2,有,有,,2843,60.44,是,坡道平面1,0,0,建築物含有：其他增建。,有,,,
買賣,中山區,房地(土地+建物),復興北路514巷1-5號(雙號),4.71,,1100307,土地:3建物:1車位:,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730222,29.52,3,2,2,有,有,,1750,59.28,否,,0,0,建築物含有：陽台外推。,有,,,
買賣,中山區,房地(土地+建物),龍江路377巷11-15號(單號),14.97,,1100126,土地:2建物:1車位:,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630727,41.4,4,2,2,有,無,,1960,47.34,否,,0,0,,無,,,
租賃,文山區,建物,景興路86-90號(單號),0,,1100301,土地:建物:1車位:,一層,004,店面(店鋪),住家用,鋼筋混凝土造,,32.46,,,,無,無,無,5,1540.36,否,,0,0,,,,,
買賣,中山區,房地(土地+建物),建國北路三段93巷5弄16-20號(單號),3.18,,1100303,土地:2建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690816,12.62,3,3,2,有,無,,430,34.07,否,,0,0,,無,,,
租賃,內湖區,建物,內湖路二段103巷41-45號(雙號),0,,1100301,土地:建物:1車位:,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720912,37.95,3,2,2,有,有,有,3,843.21,否,,0,0,,,,,
